Time,Theoretical PSI,Actual PSI,X Position,Y Position,Z Position
22:12:01,11.5,11.54,26.049999999999997,-106.61,-202.65
22:12:16,11.55,11.55,26.41,-106.64,-202.59
22:12:31,11.600000000000001,11.64,27.2,-106.84,-202.94
22:12:47,11.650000000000002,11.64,27.63,-106.88,-202.92
22:13:02,11.700000000000003,11.72,28.830000000000002,-107.03,-202.92
22:13:17,11.750000000000004,11.73,28.97,-107.16,-203.35000000000002
22:13:32,11.800000000000004,11.82,30.47,-107.47,-203.92
22:13:48,11.850000000000005,11.82,30.810000000000002,-107.48,-203.91
22:14:03,11.900000000000006,11.91,32.82000000000001,-107.89,-204.44
22:14:18,11.950000000000006,11.91,33.03,-107.85,-204.39000000000001
22:14:33,12.000000000000007,12.0,35.91,-108.4,-205.03
22:14:49,12.050000000000008,12.05,37.589999999999996,-108.73,-205.35000000000002
22:15:04,12.100000000000009,12.1,39.52,-109.08,-205.65
22:15:19,12.15000000000001,12.1,39.38,-109.09,-205.66000000000003
22:15:34,12.20000000000001,12.2,43.449999999999996,-109.74000000000001,-206.33
22:15:49,12.25000000000001,12.26,45.58,-110.18,-206.77
22:16:05,12.300000000000011,12.25,45.620000000000005,-110.22,-206.67999999999998
22:16:20,12.350000000000012,12.31,48.27,-110.55,-207.07000000000002
22:16:35,12.400000000000013,12.38,52.029999999999994,-111.13,-207.56
22:16:50,12.450000000000014,12.45,55.62,-111.55,-208.02
22:17:06,12.500000000000014,12.5,58.5,-111.96000000000001,-208.43
22:17:21,12.550000000000015,12.55,61.21,-112.36999999999999,-208.73000000000002
22:17:36,12.600000000000016,12.58,62.74,-112.3,-208.68
22:17:51,12.650000000000016,12.64,66.03,-112.55,-209.19
22:18:07,12.700000000000017,12.68,67.23,-112.66,-209.60000000000002
22:18:22,12.750000000000018,12.73,69.72,-112.73,-210.34
22:18:37,12.800000000000018,12.8,72.28999999999999,-112.55000000000001,-211.20000000000002
22:18:52,12.85000000000002,12.83,73.81,-112.22,-211.89000000000001
22:19:07,12.90000000000002,12.87,75.33,-111.68,-212.61
22:19:23,12.95000000000002,12.93,77.82000000000001,-110.63,-213.6
22:19:38,13.000000000000021,12.98,79.92,-109.39,-214.53
22:19:53,13.050000000000022,13.03,82.78,-107.28,-215.2
22:20:08,13.100000000000023,13.08,86.02,-104.11,-216.1
22:20:24,13.150000000000023,13.13,88.17,-100.96,-216.29
22:20:39,13.200000000000024,13.16,89.59,-96.33,-215.91
